Date,Open,High,Low,Close,Adj Close,Volume
2009-07-20,12.570000,13.830000,12.430000,11.479103,13.610000,34118600
2009-07-27,13.610000,14.290000,13.260000,11.875517,14.080000,35933500
2009-08-03,14.430000,15.050000,13.960000,12.634605,14.980000,28979100
2009-08-10,14.890000,15.060000,13.830000,12.685211,15.040000,28795700
2009-08-17,14.700000,15.800000,14.200000,13.300918,15.770000,32046800
2009-08-24,16.000000,17.430000,15.880000,14.523891,17.219999,35860100
2009-08-31,16.920000,17.469999,15.660000,14.211822,16.850000,43139800
2009-09-07,17.129999,17.379999,16.570000,14.321467,16.980000,25198700
2009-09-14,16.719999,18.190001,16.540001,14.330150,16.889999,34659200
2009-09-21,17.129999,17.230000,15.980000,14.304700,16.860001,35402600
2009-09-28,16.879999,18.000000,16.209999,14.236825,16.780001,27736400
2009-10-05,17.030001,18.040001,16.830000,15.110720,17.809999,25402600
2009-10-12,17.969999,18.650000,17.290001,15.170110,17.879999,23667700
2009-10-19,18.059999,18.309999,17.100000,14.576199,17.180000,22936200
2009-10-26,17.230000,17.570000,16.080000,13.922900,16.410000,35362200
2009-11-02,16.480000,17.299999,15.780000,14.610137,17.219999,23731900
2009-11-09,17.459999,18.280001,17.240000,14.805277,17.450001,18731500
2009-11-16,17.540001,18.290001,17.510000,15.271918,18.000000,16552800
2009-11-23,18.240000,18.500000,17.530001,15.017387,17.700001,11341500
2009-11-30,17.790001,18.709999,17.510000,15.450091,18.209999,18724800
2009-12-07,18.219999,18.350000,17.600000,15.399187,18.150000,12728900
2009-12-14,18.080000,18.790001,18.010000,15.535833,18.209999,16830200
2009-12-21,18.240000,18.990000,18.209999,16.167166,18.950001,9251000
2009-12-28,18.990000,19.030001,18.240000,15.638208,18.330000,7277700
2010-01-04,18.520000,18.840000,18.080000,15.527302,18.200001,17426000
2010-01-11,18.360001,18.400000,17.000000,14.580308,17.090000,33011500
2010-01-18,17.080000,17.719999,16.420000,14.059884,16.480000,18713100
2010-01-25,16.780001,17.340000,16.490000,14.307299,16.770000,19977100
2010-02-01,16.750000,17.520000,15.910000,14.042822,16.459999,21702300
2010-02-08,16.469999,17.719999,16.290001,15.049540,17.639999,25225400
2010-02-15,17.750000,18.510000,17.600000,15.714988,18.420000,14597100
2010-02-22,18.379999,18.500000,17.920000,15.587021,18.270000,15734700
2010-03-01,18.350000,19.480000,18.280001,16.499887,19.340000,17873400
2010-03-08,19.389999,19.500000,18.350000,16.022125,18.780001,19994700
2010-03-15,18.719999,19.540001,18.480000,16.150093,18.830000,22486500
2010-03-22,18.670000,19.240000,18.459999,16.201557,18.889999,17593200
2010-03-29,18.990000,19.320000,18.559999,16.407400,19.129999,14473600
2010-04-05,19.209999,19.719999,18.850000,16.373102,19.090000,21516700
2010-04-12,19.090000,20.389999,19.040001,16.913431,19.719999,31044400
2010-04-19,19.559999,20.090000,19.290001,17.119274,19.959999,19080100
2010-04-26,19.870001,19.959999,17.700001,15.266688,17.799999,30429600
2010-05-03,17.799999,18.389999,16.809999,14.803547,17.260000,45823200
2010-05-10,18.440001,19.920000,17.799999,16.124369,18.799999,41689800
2010-05-17,18.750000,18.860001,16.650000,14.897886,17.370001,33851000
2010-05-24,17.410000,18.230000,16.219999,15.103733,17.610001,28977500
2010-05-31,17.350000,17.540001,16.370001,14.074514,16.410000,19236600
2010-06-07,16.490000,17.389999,15.630000,14.880732,17.350000,30459600
2010-06-14,17.610001,18.250000,17.100000,15.520202,17.990000,21589000
2010-06-21,18.260000,18.400000,16.870001,15.002569,17.389999,20841700
2010-06-28,17.440001,17.480000,15.590000,13.777517,15.970000,37925300
2010-07-05,16.230000,17.430000,15.860000,15.011199,17.400000,24775300
2010-07-12,17.299999,17.820000,16.760000,14.493568,16.799999,27582500
2010-07-19,16.870001,17.860001,16.520000,15.330405,17.770000,24513100
2010-07-26,17.780001,18.350000,17.450001,15.295890,17.730000,18994800
2010-08-02,18.030001,18.480000,17.750000,15.520202,17.990000,24711600
2010-08-09,18.160000,18.900000,17.520000,15.528821,18.000000,24403600
2010-08-16,17.840000,18.389999,17.520000,15.209624,17.629999,18257000
2010-08-23,17.709999,18.170000,17.160000,15.675487,18.170000,19517200
2010-08-30,18.059999,19.120001,17.370001,16.477806,19.100000,18420700
2010-09-06,19.090000,20.350000,18.709999,17.461302,20.240000,21660700
2010-09-13,20.549999,21.030001,19.770000,18.022066,20.889999,23429000
2010-09-20,20.990000,21.270000,20.549999,18.397659,21.219999,24230000
2010-09-27,21.160000,22.139999,21.080000,18.683762,21.549999,26304300
2010-10-04,21.240000,22.250000,21.170000,19.143272,22.080000,21347100
2010-10-11,22.150000,22.520000,21.719999,19.108595,22.040001,19216200
2010-10-18,22.090000,22.309999,21.389999,19.056574,21.980000,19928500
2010-10-25,22.080000,22.469999,20.940001,18.336964,21.150000,17870500
2010-11-01,21.340000,21.559999,20.290001,18.033520,20.799999,34488500
2010-11-08,20.700001,21.190001,20.110001,17.452631,20.129999,27760700
2010-11-15,20.219999,20.500000,19.500000,17.495975,20.180000,19695200
2010-11-22,20.049999,20.049999,19.360001,17.123173,19.750000,13964300
2010-11-29,19.549999,20.639999,19.500000,17.816767,20.549999,13957400
2010-12-06,20.450001,21.160000,20.320000,18.302284,21.110001,16296200
2010-12-13,21.180000,22.070000,20.570000,18.813816,21.700001,27388000
2010-12-20,21.770000,22.030001,21.530001,19.077587,21.900000,13851600
2010-12-27,21.830000,22.290001,21.790001,19.007891,21.820000,9407300
2011-01-03,22.049999,22.299999,21.889999,19.269232,22.120001,28661500
2011-01-10,21.990000,23.680000,21.830000,20.532358,23.570000,31919500
2011-01-17,23.530001,23.680000,22.590000,19.765770,22.690001,20663600
2011-01-24,22.730000,23.410000,22.639999,19.870306,22.809999,18808700
2011-01-31,22.850000,23.500000,22.719999,20.419113,23.440001,16807100
2011-02-07,23.490000,23.889999,22.969999,20.244888,23.240000,14949800
2011-02-14,23.250000,24.660000,22.820000,21.473171,24.650000,14985900
2011-02-21,24.260000,24.440001,22.549999,20.279732,23.280001,22247600
2011-02-28,23.430000,23.540001,22.030001,19.992270,22.950001,19191800
2011-03-07,23.059999,23.309999,21.170000,19.356342,22.219999,19911600
2011-03-14,21.959999,22.520000,21.469999,19.233269,21.969999,26077500
2011-03-21,22.350000,23.260000,22.250000,20.240015,23.120001,13782600
2011-03-28,23.180000,25.070000,23.160000,21.693233,24.780001,23142000
2011-04-04,24.900000,25.430000,24.620001,22.052164,25.190001,19774900
2011-04-11,25.190001,25.250000,24.100000,21.421846,24.469999,21340000
2011-04-18,24.100000,24.420000,23.540001,21.176723,24.190001,18465700
2011-04-25,24.090000,24.750000,23.790001,21.378071,24.420000,15161200
2011-05-02,24.600000,24.820000,23.160000,20.528904,23.450001,19122200
2011-05-09,23.719999,24.309999,22.900000,20.134958,23.000000,19860400
2011-05-16,22.860001,23.780001,22.730000,20.607695,23.540001,13133900
2011-05-23,23.200001,23.610001,22.830000,20.318804,23.209999,15956900
2011-05-30,23.480000,23.709999,22.370001,19.644720,22.440001,17082100
2011-06-06,22.430000,22.480000,20.530001,18.270294,20.870001,35041300
2011-06-13,21.129999,21.860001,20.910000,18.664234,21.320000,26972600
2011-06-20,21.209999,21.809999,20.950001,18.639919,21.180000,24296800
2011-06-27,21.219999,22.330000,21.209999,19.625599,22.299999,17868500
2011-07-04,22.270000,22.650000,21.730000,19.458385,22.110001,12167700
2011-07-11,21.780001,21.980000,21.049999,18.648722,21.190001,15719900
2011-07-18,21.080000,21.870001,20.530001,18.983147,21.570000,19510500
2011-07-25,21.340000,21.820000,20.440001,18.059071,20.520000,28098500
2011-08-01,20.770000,21.879999,19.590000,17.566233,19.959999,36855200
2011-08-08,19.490000,20.059999,17.940001,16.932579,19.240000,42133100
2011-08-15,19.490000,20.100000,18.450001,16.510153,18.760000,31593900
2011-08-22,19.200001,19.969999,18.379999,16.958982,19.270000,22121000
2011-08-29,19.660000,21.100000,19.559999,17.214203,19.559999,20378700
2011-09-05,18.830000,20.340000,18.790001,16.941383,19.250000,13219800
2011-09-12,18.940001,20.270000,18.709999,17.627844,20.030001,17850100
2011-09-19,19.540001,20.389999,18.100000,16.250166,18.360001,20159300
2011-09-26,18.620001,20.059999,18.260000,16.639603,18.799999,22150200
2011-10-03,18.650000,19.540001,17.690001,16.604198,18.760000,23198200
2011-10-10,19.150000,20.129999,19.150000,17.480434,19.750000,14630600
2011-10-17,19.559999,21.549999,18.830000,19.064735,21.540001,25137000
2011-10-24,21.910000,23.000000,21.600000,19.967522,22.559999,30149800
2011-10-31,22.139999,22.290001,20.809999,18.861166,21.309999,28141700
2011-11-07,21.330000,21.910000,20.250000,18.763805,21.200001,17116500
2011-11-14,21.110001,21.209999,19.500000,17.577791,19.860001,18723300
2011-11-21,19.450001,19.790001,18.650000,16.745810,18.920000,12120000
2011-11-28,19.500000,21.150000,19.240000,18.365515,20.750000,19882700
2011-12-05,21.110001,21.350000,20.370001,18.197351,20.559999,16612000
2011-12-12,20.219999,20.290001,19.350000,17.400776,19.660000,15029400
2011-12-19,19.709999,20.350000,19.160000,18.040192,20.270000,15380400
2011-12-26,20.240000,20.450001,19.709999,17.595203,19.770000,6198500
2012-01-02,20.250000,20.410000,19.250000,17.737597,19.930000,13842800
2012-01-09,19.389999,20.580000,19.350000,18.031294,20.260000,16996400
2012-01-16,19.990000,20.530001,19.850000,18.146990,20.389999,21368700
2012-01-23,20.420000,20.799999,20.070000,18.066891,20.299999,12606300
2012-01-30,20.049999,21.400000,19.850000,18.707691,21.020000,18848800
2012-02-06,20.870001,21.420000,19.150000,17.150200,19.270000,31096000
2012-02-13,19.330000,20.120001,18.860001,17.746492,19.940001,33374600
2012-02-20,20.059999,20.520000,19.969999,17.871098,20.080000,14372200
2012-02-27,19.920000,21.090000,19.910000,18.707691,21.020000,21628600
2012-03-05,20.930000,21.469999,20.160000,18.885689,21.219999,20735000
2012-03-12,21.180000,22.030001,21.160000,19.464188,21.870001,14312900
2012-03-19,21.910000,21.920000,20.750000,18.903444,21.129999,19454900
2012-03-26,21.400000,21.809999,21.139999,19.404434,21.690001,13001300
2012-04-02,21.600000,21.990000,21.180000,19.377594,21.660000,14137500
2012-04-09,21.350000,21.490000,20.809999,18.617161,20.809999,13492200
2012-04-16,20.990000,21.600000,20.780001,19.127100,21.379999,13385200
2012-04-23,21.059999,22.160000,20.910000,19.431274,21.719999,12850400
2012-04-30,21.639999,22.020000,20.990000,18.912386,21.139999,12066600
2012-05-07,21.080000,22.639999,20.959999,19.789125,22.120001,29027100
2012-05-14,21.889999,22.030001,20.299999,18.205639,20.350000,17104800
2012-05-21,20.110001,20.590000,19.920000,18.116173,20.250000,19815300
2012-05-28,20.459999,20.680000,19.670000,17.624134,19.700001,14938900
2012-06-04,19.799999,20.770000,19.520000,18.241421,20.389999,14749300
2012-06-11,20.580000,20.600000,19.990000,18.205639,20.350000,13783400
2012-06-18,20.209999,20.610001,19.969999,18.088999,20.110001,11982500
2012-06-25,19.840000,21.110001,19.540001,18.925529,21.040001,12518400
2012-07-02,21.110001,21.389999,20.620001,18.736637,20.830000,8602500
2012-07-09,20.760000,20.830000,20.180000,18.394823,20.450001,12819200
2012-07-16,20.520000,21.139999,20.360001,18.358845,20.410000,15114300
2012-07-23,20.040001,21.100000,19.900000,18.781609,20.879999,16696300
2012-07-30,20.820000,21.330000,20.490000,19.069450,21.200001,15224900
2012-08-06,21.299999,23.370001,21.230000,20.670563,22.980000,18667000
2012-08-13,22.950001,23.530001,22.680000,21.093332,23.450001,13834200
2012-08-20,23.340000,23.500000,23.020000,20.895439,23.230000,11229100
2012-08-27,23.250000,23.330000,22.790001,20.796494,23.120001,6795000
2012-09-03,23.100000,23.790001,22.760000,21.372181,23.760000,8698300
2012-09-10,23.790001,24.889999,23.600000,22.199718,24.680000,13178300
2012-09-17,24.650000,24.730000,23.980000,21.868952,24.200001,9411900
2012-09-24,24.100000,24.400000,23.799999,21.715326,24.030001,10504200
2012-10-01,24.250000,25.049999,24.150000,22.465374,24.860001,11251600
2012-10-08,24.799999,25.330000,24.690001,22.573816,24.980000,8701600
2012-10-15,25.090000,25.780001,24.930000,22.980465,25.430000,9659000
2012-10-22,25.389999,25.670000,24.530001,22.384043,24.770000,9186900
2012-10-29,24.930000,25.120001,23.469999,21.697250,24.010000,10019500
2012-11-05,23.520000,24.780001,23.490000,21.688213,24.000000,11503500
2012-11-12,24.010000,24.190001,23.150000,21.426147,23.709999,7761200
2012-11-19,23.959999,24.360001,23.670000,22.013538,24.360001,4998900
2012-11-26,24.180000,24.440001,23.610001,21.986427,24.330000,6476000
2012-12-03,24.389999,25.200001,24.180000,22.673222,25.090000,7868700
2012-12-10,25.040001,25.430000,24.100000,21.950279,24.290001,10424600
2012-12-17,24.379999,25.320000,24.379999,22.292397,24.559999,11174600
2012-12-24,24.480000,24.940001,24.430000,22.410393,24.690001,4495300
2012-12-31,24.680000,26.030001,24.570000,23.608521,26.010000,11872800
2013-01-07,25.860001,26.750000,25.770000,24.144043,26.600000,11017700
2013-01-14,26.570000,27.250000,26.250000,24.706800,27.219999,11914700
2013-01-21,27.240000,27.790001,27.129999,25.224180,27.790001,8972200
2013-01-28,27.809999,28.170000,27.270000,25.478321,28.070000,9584900
2013-02-04,27.910000,28.740000,27.360001,25.632624,28.240000,14623900
2013-02-11,28.250000,28.750000,28.120001,26.022924,28.670000,13369100
2013-02-18,28.709999,29.049999,28.290001,26.313377,28.990000,9891000
2013-02-25,29.129999,29.230000,28.070000,26.159077,28.820000,13752900
2013-03-04,28.830000,29.820000,28.690001,26.921518,29.660000,10053700
2013-03-11,29.590000,30.480000,29.559999,27.593195,30.400000,13144200
2013-03-18,29.980000,30.450001,29.969999,27.586208,30.250000,10753500
2013-03-25,30.420000,30.610001,30.040001,27.631809,30.299999,7019500
2013-04-01,30.350000,30.959999,30.049999,28.060419,30.770000,11622500
2013-04-08,30.709999,31.629999,30.650000,28.534630,31.290001,8560700
2013-04-15,31.170000,31.200001,29.930000,27.759481,30.440001,11162600
2013-04-22,30.520000,31.740000,30.280001,28.406960,31.150000,6683200
